id,track/artist,album,title
121354,MERCURY,ocean beach ball,going up the escalator 
829184,shampoo,pocari blue,platinum plus
739173,cosmic cycler,let me love you ,im so in love with you 
930183,architecture in tokyo,summer paradise,beach
982012,Mr. Hideyoshi,Memory Card Slot A,Forbidden Fantasy 
720830,F A M I L I A R,FORGOTTEN SIGNAL,B R E A K
820138,Yunnan Gold ,Yokohama Connection,Looking Back 
204810,maliblue,spook,mist
730122,Childhood,BBYLUV,Riding in you Limousine
881002,M4 Vaporwave,Max Midnight ,Gorgeous Lights
201739,astro television system,broadcast interruption ,rooftop 
882001,Hantasi ,Vacant Places ,Welcome 
109283,Purple Palm ,Super Shades ,Play Pretend
730022,WTF .FM,Virtually Yours,Kryptomaniac
720193,unkownsoldier,are you happy now?,trip
203912,Held In Light ,Dead On The Platform ,Pull the trigger 
820122,TVOY GAIJINN,gaijinn's singles,samurai 
342902,SinTrain ,Together ,Subway
330219,Skibblez,Single series volume 1,Feelin' low
410359,Virtua Bones,Cache Money ,Golden